,coke,sprite,pepsi,other_soda,bud,coors,miller_lite,corona,blue_moon,other_beer,other_alcohol,aquafina,dasani,fiji,other_water,starbucks,coffee_bean,dunkin_donuts,freudian_sip,other_coffee,twitter,snapchat,youtube,facebook,instagram,pinterest,participant
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,2,0,14,0,7,0,0,0,31
86,0,2,0,0,0,0,0,0,0,2,8,0,0,0,2,1,0,0,0,0,4,6,1,0,1,0,141
87,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,5,0,0,1,0,0,4,6,0,10,0,96
88,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,6,6,1,2,0,61
89,0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,0,0,0,2,1,0,5,10,0,16,0,78
90,0,0,0,0,0,0,0,0,0,1,4,0,1,0,5,1,0,0,0,0,0,50,10,0,6,0,81
91,1,0,0,2,0,0,0,0,0,0,0,0,1,3,6,5,0,1,1,0,0,0,1,0,5,0,26
92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,3,0,1,5,0,85
93,0,4,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,12,24,0,0,15,58
94,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,5,1,0,0,1,1,0,1,1,2,1,7
95,4,0,5,2,0,0,0,0,0,0,0,5,0,0,0,7,0,0,9,0,2,4,10,0,3,0,69
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,6,3,0,0,4,0,90
97,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,1,0.5,0,0,144
98,5,3,2,10,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,24,0,122
99,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,15,48,2,1,56,0,45
100,0,0,2,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,1,1,0,0,3,0,153
101,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,5,0,0,0,0,0,0,2,0,2,0,54
102,5,3,1,0,0,0,0,0,0,1,1,0,0,0,6,1,0,0,0,0,8,7,5,0,8,1,147
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,3,3,0,3,0,74
104,2,1,0,2,0,0,0,0,0,0,1,0,3,2,4,1,0,0,0,0,5,2,1,2,5,0,143
105,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1,0,0,0,0,4,1,0,0,1,1,157
106,2,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,10,15,5,2,24,0,47
107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,14,0,0,1,0,99
108,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,1,0,0,3,2,0,0,0,1,0,0,11
109,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,4,1,3,0,50
110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,20,15,1,15,0,93
111,0,0,0,0,0,0,0,1,0,1,1,0,0,20,11,0,0,0,0,0,10,3,0.5,0,12,3,163
112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,8,0,8,8,0,133
113,3,1,1,1,0,0,0,0,0,0,2,0,0,0,7,10,0,0,0,0,10,10,10,0,10,1,53
114,0,0,0,0,0,0,0,0,0,0,0,2,12,0,30,0,0,0,0,0,0,3,20,0,20,5,32
115,7,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,6,0,20,0,0,0,38
116,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,4,0,0,4,0,4,2,6,1,12,0,52
117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,2,0,124
118,0,0,0,0,0,0,0,0,0,4,1,15,0,0,1,21,0,0,4,0,0,8,1,0,8,7,137
119,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,7,7,0,0,7,0,115
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,7,7,0,131
121,0,0,0,1,0,0,0,0,0,0,0,10,0,0,12,2,0,0,2,0,0,1,1,0,1,1,44
122,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,1,3,0,2,0,13
123,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,20
124,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,3,0,132
125,2,0,0,2,0,0,0,0,0,0,0,0,1,0,3,3,0,0,5,0,2,6,3,6,5,0,161
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,21,0,2,0,129
127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,10,10,8,9,3,160
128,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,1,1,5,0,150
129,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,0,1,20,20,20,0.5,20,0,116
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,10,20,0,3,0,3
131,0,0,0,1,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,4,8,2,2,0,86
132,1,0,0,1,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,4,1,1,0,121
133,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,8,0,0,1,8,1,106
134,2,0,1,2,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,0,1,0,1,2,3,0,130
